encourager
{
  DefaultArmStrength = 15;
  DefaultLegStrength = 10;
  DefaultDexterity = 10;
  DefaultAgility = 10;
  DefaultEndurance = 15;
  DefaultPerception = 21;
  DefaultIntelligence = 7;
  DefaultWisdom = 7;
  DefaultCharisma = 7;
  DefaultMana = 0;
  CapColor = rgb16(64, 64, 64);
  EyeColor = rgb16(140, 100, 70);
  BootColor = rgb16(90, 60, 20);
  HeadBitmapPos = 96, 240;
  TorsoBitmapPos = 32, 0;
  ArmBitmapPos = 64, 0;
  LegBitmapPos = 16, 208;
  TotalVolume = 90000;
  TotalSize = 170;
  NameSingular = "banana grower encourager";
  Belt = LEATHER belt;
  RightWielded = HARDENED_LEATHER whip;
  RightBoot = HARDENED_LEATHER boot;
  KnownCWeaponSkills = { 2, KICK, WHIPS; }
  CWeaponSkillHits = { 2, 100, 100; }
  RightSWeaponSkillHits = 100;
  AttackStyle = USE_ARMS|USE_LEGS;
  TamingDifficulty = NO_TAMING;
  HostileReplies == "\"Ah! Again me kick ye!\"";
  AttachedGod = MELLIS;
  FriendlyReplies =
  {
    4;
    "@Dd shouts harshly: \"Work! Work! Bring food to yer betters!\"",
    "@Dd shouts almost sadly: \"Gonna leave, man? Pity. Me kinda liked kicking ya.\"",
    "@Dd screams at your face: \"Me talented shouter. That made everyone in Attnam jealous. Me was sent here and told to never come back.\"",
    "@Dd shouts smiling: \"Me has team management diploma from Decos business school! Me very good at encouraging workers.\"";
  }
  AutomaticallySeen = true;
  IsSadist = true;
}
