housewife
{
  DefaultArmStrength = 10;
  DefaultLegStrength = 10;
  DefaultDexterity = 15;
  DefaultAgility = 15;
  DefaultEndurance = 15;
  DefaultPerception = 24;
  DefaultIntelligence = 10;
  DefaultWisdom = 20;
  DefaultCharisma = 20;
  DefaultMana = 10;
  Sex = FEMALE;
  TorsoMainColor = rgb16(200, 200, 200);
  ArmMainColor = rgb16(100, 100, 100);
  LegMainColor = rgb16(180, 80, 0);
  /* HairColor is random */
  /* HeadBitmapPos is random */
  TorsoBitmapPos = 32, 160;
  ArmBitmapPos = 64, 160;
  LegBitmapPos = 0, 128;
  TotalVolume = 70000;
  TotalSize = 160;
  CanRead = true;
  NameSingular = "housewife";
  NamePlural = "housewives";
  KnownCWeaponSkills = { 2, UNARMED, UNCATEGORIZED; }
  CWeaponSkillHits = { 2, 50, 50; }
  BaseUnarmedStrength = 200;
  IsExtraCoward = true;
  HostileReplies == "\"Face my rolling pin! Graah!\"";
  AttachedGod = SEGES;
  WieldedPosition = 0, -1;
  FriendlyReplies =
  {
    5,
    "\"Can you help me find my husband? He is hiding somewhere. He's that farmer who's just been mugged with a frying pan.\"",
    "\"Yesterday a bear rushed through my kitchen wall and ruined all my pies. Animals are truly annoying. Why can't we just burn the whole forest down?\"",
    "\"Wolves ate my seventh daughter last week. Damn. It'll take eight years to produce an equally good replacement worker.\"",
    "\"Petrus's wives are so arrogant towards us working class ones. Grr...\"",
    "\"If you men only knew!\"";
  }

  Config DARK_FOREST;
  {
    LegMainColor = rgb16(120, 120, 120);
    Cloak = CLOTH cloak;
    FriendlyReplies =
    {
      2,
      "\"Gah! Put me back in the jail cell! I don't want to end up with those ghastly UTFA floosies.\"",
      "\"Just hurry and get me to Attnam already. Has that jeweller's shop opened up there yet?\"";
    }
  }

  Config MONDEDR;
  {
    LegMainColor = rgb16(0, 80, 180);
    Cloak = CLOTH cloak;
    Inventory == lantern;
    FriendlyReplies =
    {
      2,
      "\"If Mondedr wasn't on Petrus's wanted list it wouldn't be so dark all the time.\"",
      "\"I heard the shopkeeper in town is a dirty one. I'd rather have the previous owner of the shop.\"";
    }
  }
}
