reddragon
{
  DefaultArmStrength = 30;
  DefaultAgility = 40;
  DefaultEndurance = 50;
  DefaultPerception = 42;
  DefaultIntelligence = 30;
  DefaultWisdom = 30;
  DefaultCharisma = 20;
  DefaultMana = 0;
  TotalVolume = 50000;
  TorsoBitmapPos = 354, 0;
  HostileReplies == "@Dd glares at you.";
  FriendlyReplies == "@Dd happily wiggles its tail.";
  TotalSize = 40;
  SkinColor = rgb16(180, 20, 0);
  EyeColor = rgb16(255, 255, 255);
  NameSingular = "red dragon";
  AttackStyle = USE_HEAD;
  BaseBiteStrength = 600;
  CanBeGenerated = true;
  KnownCWeaponSkills == BITE;
  CWeaponSkillHits == 250;
  FleshMaterial = JACKAL_FLESH;
  Frequency = 1000;
  CanRead = true;
  FireResistance = 100;
}
