sumowrestler
{
  DefaultArmStrength = 25;
  DefaultLegStrength = 35;
  DefaultDexterity = 15;
  DefaultAgility = 6;
  DefaultEndurance = 12;
  DefaultPerception = 15;
  DefaultIntelligence = 10;
  DefaultWisdom = 15;
  DefaultCharisma = 6;
  DefaultMana = 0;
  TotalVolume = 200000;
  TotalSize = 160;
  NameSingular = "sumo wrestler";
  DefaultName = "Huang Ming Pong";
  SkinColor = rgb16(128, 80, 48);
  HairColor = rgb16(80, 48, 32);
  ClothColor = rgb16(56, 48, 20);
  HeadBitmapPos = 96, 336;
  TorsoBitmapPos = 32, 352;
  ArmBitmapPos = 64, 336;
  LegBitmapPos = 16, 176;
  TamingDifficulty = NO_TAMING;
  HostileReplies == "\"SSSUUUMMMMMMOOOOORRRRGGGGGHHHHH!!!! (Mr. Decos said sumo wrestlers always yell like this)\"";
  AttachedGod = SILVA;
  KnownCWeaponSkills = { 2, UNARMED, KICK; }
  CWeaponSkillHits = { 2, 1000, 1000; }
  AttackStyle = USE_ARMS|USE_LEGS;
  IsUnique = true;
  CanBeWished = true;
  IsPolymorphable = false;
  PanicLevel = 10;
  BaseUnarmedStrength = 100;
  FriendlyReplies =
  {
    9, /* 6 first are used before the revolution */
    "@Dd smiles broadly: \"'Tis the perfect occupation, this. I eat like kings! Or at least like kings who only eat bananas.\"",
    "\"The ancient rules of this traditional martial art were designed by Mr. Decos himself, so don't complain about them.\"",
    "\"My real name is Alfred, but the viceroy said it wasn't exotic enough for this job.\"",
    "@Dd is in a buoyant mood. \"I love the new rule! Before the invasion, my wife always complained about my weight. Now she doesn't, since she's a slave in Attnam.\"",
    "@Dd seems to be recalling sorrowful memories. \"When Tweraif was still sovereign, I tried to run a restaurant for a while. It ended in a bankrupt since I ate all the food myself.\"",
    "@Dd winks at you: \"A belt of levitation is really useful for large people.\"",
    "@Dd looks almost panicked. \"Hey, why aren't people bringing me bananas anymore! I'm hungry! Help! Don't let me starve!\"",
    "\"If you attack Attnam, too, please don't liberate my wife. She'll force me to commence a merciless diet for sure!\"",
    "\"I think I'm going to move abroad and start teaching sumo wrestling to foreigners. I'm sure it'll be the number one fashion sport of big-boned people in no time!\"";
  }
  AutomaticallySeen = true;
  IsEnormous = true;
}
