chameleonwhip /* meleeweapon->whip-> */
{
  DefaultSize = 250;
  Possibility = 10;
  DefaultMainVolume = 1000;
  DefaultSecondaryVolume = 50;
  StrengthModifier = 30;
  NameSingular = "chameleon whip";
  MainMaterialConfig == OMMEL_HAIR;
  SecondaryMaterialConfig == RUBY;
  Roundness = 2;
  FormModifier = 20; /* this is multiplied by MainMaterial's flexibility */  /* CLIVAN; old: 30 */
  Price = 500;
  AttachedGod = SCABIES;
  WieldedBitmapPos = 160, 224;
  EnchantmentMinusChance = 50;
  EnchantmentPlusChance = 50;
}
