copyofleftnutofpetrus /* nut-> */
{
  DefaultSize = 10;
  Category = MISC;
  DefaultMainVolume = 500;
  NameSingular = "copy of the left nut of Petrus";
  NamePlural = "copies of the left nut of Petrus";
  FormModifier = 15;
  AttachedGod = MELLIS;
  IsValuable = false;
  IsAbstract = true;

  Config CHEAP;
  {
    Possibility = 10;
    Price = 50;
    MainMaterialConfig == GLASS; /* should be plastic */
    Adjective = "cheap";
    Alias == "left nut";
  }

  Config EXPENSIVE;
  {
    Possibility = 5;
    Price = 500;
    MainMaterialConfig == DIAMOND;
    UsesLongAdjectiveArticle = true;
    Adjective = "expensive";
  }
}
