zulfiqar /* meleeweapon-> */
{
  DefaultSize = 220;
  Possibility = 1;
  WeaponCategory = LARGE_SWORDS;
  StrengthModifier = 175;
  BitmapPos = 0, 16;
  FormModifier = 160;
  DefaultMainVolume = 400;
  DefaultSecondaryVolume = 150;
  Adjective = "two-handed";
  NameSingular = "scimitar";
  PostFix = "named Zulfiqar";
  MainMaterialConfig == METEORIC_STEEL;
  SecondaryMaterialConfig == DAMASCUS_STEEL;
  Roundness = 15;
  IsTwoHanded = true;
  Alias == "Zulfiqar";
  ArticleMode = FORCE_THE;
  CanBeCloned = false;
  CanBeMirrored = true;
  Price = 750;
  AttachedGod = CRUENTUS;
  WieldedBitmapPos = 176, 112;
  EnchantmentPlusChance = 2;
  DamageFlags = SLASH;

  Config BROKEN;
  {
    Possibility = 0;
    BitmapPos = 32, 96;
    Price = 150;
    WieldedBitmapPos = 176, 80;
    EnchantmentPlusChance = 4;
  }
}
