phoenixshield /* shield-> */
{
  DefaultSize = 60;
  Possibility = 0;
  Category = SHIELD;
  DefaultMainVolume = 350;
  StrengthModifier = 150;
  BitmapPos = 32, 336;
  FormModifier = 15;
  Adjective = "blessed";
  NameSingular = "shield";
  PostFix = "of the Phoenix";
  MainMaterialConfig == GOLD;
  Roundness = 85;
  Alias == "Shield of the Phoenix";
  WeaponCategory = SHIELDS;
  CanBeBroken = true;
  WieldedBitmapPos = 128, 32;
  EnchantmentPlusChance = 2;
  GearStates = LIFE_SAVED;

  Config BROKEN;
  {
    Possibility = 0;
    DefaultSize = 40;
    FormModifier = 20;
    BitmapPos = 48, 224;
    WieldedBitmapPos = 128, 48;
    EnchantmentPlusChance = 30;
    GearStates = 0;
  }
}
