eddy
{
  DefaultArmStrength = 1;
  DefaultAgility = 10;
  DefaultEndurance = 3;
  DefaultPerception = 12;
  DefaultIntelligence = 1;
  DefaultWisdom = 1;
  DefaultCharisma = 1;
  DefaultMana = 10;
  TotalVolume = 150000; /* most of it is in some other dimension */
  TorsoBitmapPos = 64, 32;
  HostileReplies == "@Dd twirls angrily.";
  FriendlyReplies == "@Dd twirls faster for a moment.";
  TotalSize = 100;
  SkinColor = rgb16(200, 200, 112);
  NameSingular = "eddy";
  NamePlural = "eddies";
  PostFix = "in the space-time continuum";
  HasEyes = false;
  HasHead = false;
  HasALeg = false;
  CanBeGenerated = true;
  IgnoreDanger = true;
  HPRequirementForGeneration = 50;
  DayRequirementForGeneration = 5;
  Frequency = 1000;
  PanicLevel = 0;
  StandVerb = "twirling";
  ForceCustomStandVerb = true;
  UsesNutrition = false;
  SpillsBlood = false;
  Sweats = false;
  FleshMaterial = MAGICAL_AIR;
  DeathMessage = "@Dd disappears.";
  AttachedGod = SOPHOS;
  BodyPartsDisappearWhenSevered = true;
  ClassStates = GAS_IMMUNITY;
  AttackStyle = USE_HEAD;
  BaseBiteStrength = 0;
  TamingDifficulty = NO_TAMING;
  CanHear = false;
  CanChoke = false;
  IsImmuneToStickiness = true;
  MoveType = ETHEREAL|FLY;
  UsesLongArticle = true;
}
