largerat
{
  DefaultArmStrength = 3;
  DefaultAgility = 20;
  DefaultEndurance = 10;
  DefaultPerception = 12;
  DefaultIntelligence = 5;
  DefaultWisdom = 5;
  DefaultCharisma = 4;
  DefaultMana = 0;
  CanOpen = false;
  TotalVolume = 4000;
  TorsoBitmapPos = 512, 0;
  HostileReplies == "The furious @du squeaks.";
  FriendlyReplies == "@Dd squeaks in a friendly manner.";
  TotalSize = 30;
  SkinColor = rgb16(180, 100, 40);
  Adjective = "large";
  NameSingular = "rat";
  AttackStyle = USE_HEAD;
  BaseBiteStrength = 350;
  CanBeGenerated = true;
  KnownCWeaponSkills == BITE;
  CWeaponSkillHits == 20;
  ClassStates = INFRA_VISION;
  FleshMaterial = RAT_FLESH;
  AttachedGod = SCABIES;
  MoveType = WALK|SWIM;
  IsCatacombCreature = true;
}
