spider
{
  DefaultMana = 0;
  BloodMaterial = SPIDER_BLOOD;
  CanOpen = false;
  SkinColor = rgb16(64, 64, 100);
  NameSingular = "spider";
  AttackStyle = USE_HEAD;
  CanBeGenerated = true;
  ClassStates = INFRA_VISION;
  KnownCWeaponSkills == BITE;
  FleshMaterial = SPIDER_FLESH;
  AttachedGod = SCABIES;
  BiteCapturesBodyPart = false;
  AutomaticallySeen = true;
  IsImmuneToStickiness = true;
  DangerModifier = 25;
  IsAbstract = true;
  TorsoMainColor = rgb16(30, 30, 30);
  IsCatacombCreature = true;

  Config ARANEA;
  {
    DefaultArmStrength = 20;
    DefaultAgility = 26;
    DefaultEndurance = 18;
    DefaultPerception = 26;
    DefaultIntelligence = 4;
    DefaultWisdom = 4;
    DefaultCharisma = 5;
    Adjective = "aranea";
    TorsoBitmapPos = 256, 0;
    BaseBiteStrength = 400;
    CWeaponSkillHits == 50;
    TotalVolume = 5000;
    TotalSize = 50;
    Frequency = 0;
    HostileReplies == "@Dd stridulates wildly, producing a small creaking noise.";
    FriendlyReplies == "@Dd stridulates softly, producing a barely audible but quite comfortable noise.";
  }

  Config GIANT;
  {
    DefaultArmStrength = 4;
    DefaultAgility = 10;
    DefaultEndurance = 12;
    DefaultPerception = 15;
    DefaultIntelligence = 4;
    DefaultWisdom = 4;
    DefaultCharisma = 5;
    Adjective = "giant";
    TorsoBitmapPos = 256, 0;
    BaseBiteStrength = 400;
    CWeaponSkillHits == 50;
    TotalVolume = 5000;
    TotalSize = 50;
    HostileReplies == "@Dd stridulates wildly, producing a small creaking noise.";
    FriendlyReplies == "@Dd stridulates softly, producing a barely audible but quite comfortable noise.";
  }

  Config LARGE;
  {
    DefaultArmStrength = 2;
    DefaultAgility = 5;
    DefaultEndurance = 4;
    DefaultPerception = 9;
    DefaultIntelligence = 3;
    DefaultWisdom = 3;
    DefaultCharisma = 4;
    Adjective = "large";
    TorsoBitmapPos = 304, 16;
    BaseBiteStrength = 400;
    CWeaponSkillHits == 50;
    TotalVolume = 500;
    TotalSize = 10;
    HostileReplies == "@Dd isn't interested in negotiation with you.";
    FriendlyReplies == "@Dd ignores your small talk.";
  }
}
