gauntlet /* armor-> */
{
  DefaultSize = 30;
  Possibility = 250;
  Category = GAUNTLET;
  DefaultMainVolume = 300;
  StrengthModifier = 125;
  BitmapPos = 32, 368;
  FormModifier = 20;
  NameSingular = "gauntlet";
  MainMaterialConfig = { 8, LEATHER, HARDENED_LEATHER, NYMPH_HAIR, OMMEL_HAIR, BRONZE, IRON, STEEL, METEORIC_STEEL; }
  MaterialConfigChances = { 8, 2000, 1000, 200, 100, 500, 250, 50, 10; }
  Roundness = 60;
  CanBePiled = true;
  InElasticityPenaltyModifier = 20;
  HandleInPairs = true;
  WieldedBitmapPos = 160, 128;
  GauntletBitmapPos = 80, 432;
  CanBeBroken = true;
  EnchantmentPlusChance = 10;
  HasNormalPictureDirection = false;

  Config BROKEN;
  {
    Possibility = 25;
    MainMaterialConfig = { 7, OMMEL_HAIR, BRONZE, IRON, STEEL, METEORIC_STEEL, DRAGON_HIDE, MITHRIL; }
    MaterialConfigChances = { 7, 100, 500, 250, 50, 10, 5, 10; }
    DefaultSize = 30;
    FormModifier = 30;
    BitmapPos = 80, 400;
    EnchantmentPlusChance = 20;
    InElasticityPenaltyModifier = 30;
    GauntletBitmapPos = 80, 512;
  }

  Config GAUNTLET_OF_DEXTERITY;
  {
    Possibility = 10;
    PostFix = "of dexterity";
    MainMaterialConfig == LEATHER;
    MaterialConfigChances == 100;
    AffectsDexterity = true;
    Price = 100;
    BaseEnchantment = 1;
    PriceIsProportionalToEnchantment = true;
    AttachedGod = CLEPTIA;
    EnchantmentPlusChance = 2;
  }

  Config BROKEN|GAUNTLET_OF_DEXTERITY;
  {
    DefaultSize = 20;
    FormModifier = 30;
    BitmapPos = 80, 400;
    AffectsDexterity = false;
    Price = 25;
    EnchantmentPlusChance = 4;
    InElasticityPenaltyModifier = 30;
    GauntletBitmapPos = 80, 512;
  }

  Config GAUNTLET_OF_STRENGTH;
  {
    Possibility = 10;
    PostFix = "of strength";
    MainMaterialConfig == TROLL_HIDE;
    MaterialConfigChances == 100;
    AffectsArmStrength = true;
    Price = 75;
    BaseEnchantment = 1;
    PriceIsProportionalToEnchantment = true;
    AttachedGod = CRUENTUS;
    EnchantmentPlusChance = 2;
  }

  Config BROKEN|GAUNTLET_OF_STRENGTH;
  {
    DefaultSize = 20;
    FormModifier = 30;
    BitmapPos = 80, 400;
    AffectsArmStrength = false;
    Price = 25;
    EnchantmentPlusChance = 4;
    InElasticityPenaltyModifier = 30;
    GauntletBitmapPos = 80, 512;
  }
}
