liquid
{
  ConsumeType = CT_LIQUID;
  Density = 1000;
  Flexibility = 50;
  RustModifier = 25;
  CommonFlags = Base&~CAN_BE_WISHED;

  Config ACIDOUS_BLOOD;
  {
    StrengthValue = 150;
    NutritionValue = 50;
    Color = rgb16(100, 0, 0);
    NameStem = "acidous blood";
    Alpha = 175;
    Flexibility = 40;
    AttachedGod = CRUENTUS;
    Acidicity = 500:
    RustModifier = 500;
    ConsumeWisdomLimit = 4;
    CategoryFlags = IS_BLOOD;
    InteractionFlags = Base|AFFECT_INSIDE;
    StepInWisdomLimit = 10;
    NameFlags = Base|USE_AN;
  }

  Config ANTIDOTE_LIQUID;
  {
    StrengthValue = 1;
    NutritionValue = 100;
    Color = rgb16(128, 0, 128);
    NameStem = "antidote liquid";
    Effect = EFFECT_ANTIDOTE;
    ConsumeEndMessage = CEM_ANTIDOTE;
    HitMessage = HM_ANTIDOTE;
    Alpha = 170;
    EffectStrength = 100;
    PriceModifier = 1000;
    AttachedGod = SEGES;
    CommonFlags = Base|IS_VALUABLE;
    InteractionFlags = Base|EFFECT_IS_GOOD;
  }

  Config BLOOD;
  {
    StrengthValue = 1;
    NutritionValue = 50;
    Color = rgb16(100, 0, 0);
    NameStem = "blood";
    Alpha = 175;
    Flexibility = 40;
    AttachedGod = CRUENTUS;
    RustModifier = 1;
    CategoryFlags = IS_BLOOD;
  }

  Config BROWN_SLIME;
  {
    StrengthValue = 5;
    Density = 600;
    NutritionValue = 10;
    Color = rgb16(130, 90, 40);
    NameStem = "brown slime";
    Alpha = 200;
    Flexibility = 25;
    AttachedGod = SCABIES;
    RustModifier = 50;
    Acidicity = 25;
    ConsumeWisdomLimit = 3;
    BodyFlags = Base&~USE_MATERIAL_ATTRIBUTES;
    InteractionFlags = Base|AFFECT_INSIDE&~CAN_DISSOLVE;
    Stickiness = 100;
    StepInWisdomLimit = 4;
  }

  Config CURDLED_OMMEL_BLOOD;
  {
    StrengthValue = 1;
    Color = rgb16(180, 60, 60);
    NutritionValue = 250;
    PriceModifier = 10000;
    NameStem = "curdled ommel blood";
    Effect = EFFECT_OMMEL_SWEAT;
    ConsumeEndMessage = CEM_OMMEL;
    HitMessage = HM_OMMEL;
    AttachedGod = SCABIES;
    CommonFlags = Base|IS_VALUABLE&~CAN_BE_MIRRORED;
    InteractionFlags = Base|EFFECT_IS_GOOD;
  }

  Config DARK_FROG_BLOOD;
  {
    StrengthValue = 1;
    NutritionValue = 40;
    Color = rgb16(50, 0, 0);
    NameStem = "dark frog blood";
    Alpha = 175;
    Flexibility = 40;
    AttachedGod = CRUENTUS;
    RustModifier = 200;
    Acidicity = 100;
    ConsumeWisdomLimit = 0;
    CategoryFlags = IS_BLOOD;
    InteractionFlags = Base|AFFECT_INSIDE;
    StepInWisdomLimit = 0;
  }

  Config DOG_DROOL;
  {
    StrengthValue = 2;
    NutritionValue = 50;
    Color = rgb16(144, 144, 240);
    NameStem = "dog drool";
    Alpha = 175;
    AttachedGod = SILVA;
    RustModifier = 5;
  }

  Config GLOWING_BLOOD;
  {
    StrengthValue = 1;
    NutritionValue = 75;
    Color = rgb16(100, 0, 0);
    Emitation = rgb24(140, 100, 100);
    NameStem = "glowing blood";
    Alpha = 150;
    Flexibility = 40;
    AttachedGod = SCABIES;
    RustModifier = 1;
    CategoryFlags = IS_BLOOD;
  }

  Config HEALING_LIQUID;
  {
    StrengthValue = 1;
    NutritionValue = 250;
    Color = rgb16(180, 0, 0);
    PriceModifier = 1500;
    NameStem = "healing liquid";
    Effect = EFFECT_HEAL;
    ConsumeEndMessage = CEM_HEALING_LIQUID;
