genie
{
  DefaultArmStrength = 20;
  DefaultLegStrength = 20; /* not used */
  DefaultDexterity = 25;
  DefaultAgility = 50;
  DefaultEndurance = 15;
  DefaultPerception = 18;
  DefaultIntelligence = 20;
  DefaultWisdom = 25;
  DefaultCharisma = 20;
  DefaultMana = 50;
  StandVerb = "floating";
  TotalVolume = 200000;
  TotalSize = 250;
  CanRead = true;
  NameSingular = "genie";
  ClothColor = rgb16(100, 100, 160);
  HeadBitmapPos = 96, 272;
  TorsoBitmapPos = 32, 272;
  ArmBitmapPos = 64, 272;
  /* LegBitmapPos is not used */
  KnownCWeaponSkills == LARGE_SWORDS;
  CWeaponSkillHits == 500;
  RightSWeaponSkillHits = 200;
  PanicLevel = 0;
  BaseEmitation = rgb24(110, 110, 130);
  HostileReplies == "\"Fall, puny primy!\"";
  FriendlyReplies == "\"You know, it's not fun to stay in an oil lamp for three centuries...\"";
  Belt = SPIDER_SILK belt;
  FleshMaterial = MAGICAL_AIR;
  DeathMessage = "@Dd vanishes from existence.";
  SpillsBlood = false;
  Sweats = false;
  AttachedGod = ATAVUS;
  BodyPartsDisappearWhenSevered = true;
  ClassStates = GAS_IMMUNITY|LEVITATION;
  WieldedPosition = -1, -3;
  CanChoke = false;
  IsImmuneToStickiness = true;
  UndeadVersions = false;
}
