lobhse
{
  DefaultArmStrength = 40;
  DefaultAgility = 20;
  DefaultEndurance = 40;
  DefaultPerception = 21;
  DefaultIntelligence = 5;
  DefaultWisdom = 5;
  DefaultCharisma = 6;
  DefaultMana = 0;
  BloodMaterial = SICK_BLOOD;
  CanOpen = false;
  //!TotalSize = 10;
  SkinColor = rgb16(64, 64, 100);
  BeltColor = rgb16(50, 150, 50); /* the mouth */
  TorsoMainColor = rgb16(30, 30, 30);
  NameSingular = "behemoth spider";
  AttackStyle = USE_HEAD;
  BaseBiteStrength = 400;
  ClassStates = INFRA_VISION|LEPROSY; // leprosy is from comm. fork
  KnownCWeaponSkills == BITE;
  CWeaponSkillHits == 50;
  FleshMaterial = SICK_SPIDER_FLESH;
  AttachedGod = SCABIES;
  BiteCapturesBodyPart = false;
  AutomaticallySeen = true;
  IsImmuneToStickiness = true;
  DefaultName = "Lobh-Se";
  TorsoBitmapPos = 192, 64;
  TotalVolume = 500000;
  //TamingDifficulty = NO_TAMING;
  TamingDifficulty = 50; // comm. fork
  IsNameable = false;
  IsUnique = true;
  TotalSize = 200;
  IsPolymorphable = false;
  CanBeGenerated = false;
  PanicLevel = 0;
  CanBeCloned = false;
  CanBeConfused = false;
  DestroysWalls = true;
  AllowUnconsciousness = false;
  IsImmuneToLeprosy = true;
  EnergyResistance = 5;
  FireResistance = 15;
  PoisonResistance = 50;
  ElectricityResistance = 5;
  AcidResistance = 50;
  HostileReplies :=
  {
    "@Dd whimpers.",
    "@Dd cries a little.",
    "@Dd tears up.";
  }
  FriendlyReplies :=
  {
    "\"Mommy!\"",
    "\"Where... my mommy?\"",
    "\"You... new mommy?\"",
    "You pet @dd.";
  }
  DeathMessage = "@Dd groans horribly and the world is finally freed from this terrible menace.";
}
