mysteryman
{
  DefaultArmStrength = 15;
  DefaultLegStrength = 20;
  DefaultDexterity = 15;
  DefaultAgility = 20;
  DefaultEndurance = 10;
  DefaultPerception = 25;
  DefaultIntelligence = 30;
  DefaultWisdom = 25;
  DefaultCharisma = 10;
  DefaultMana = 0;
  HeadBitmapPos = 96, 64;
  TorsoBitmapPos = 48, 48;
  ArmBitmapPos = 64, 16;
  LegBitmapPos = 0, 48;
  SkinColor = rgb16(255, 222, 202);
  TotalVolume = 95000;
  TotalSize = 175;
  CapColor = rgb16(30, 30, 30);
  TorsoMainColor = rgb16(30, 30, 30);
  LegMainColor = rgb16(30,30,30);
  NameSingular = "mystery man";
  Helmet = BLACK_LEATHER helmet;
  BodyArmor = BLACK_LEATHER bodyarmor(PLATE_MAIL);
  Belt = BLACK_LEATHER belt;
  RightBoot = BLACK_LEATHER boot;
  RightGauntlet = BLACK_LEATHER gauntlet;
  KnownCWeaponSkills = { 2, KICK, UNARMED; }
  CWeaponSkillHits = { 2, 1000, 1000; }
  RightSWeaponSkillHits = 1000;
  LeftSWeaponSkillHits = 1000;
  AttackStyle = USE_ARMS|USE_LEGS;
  TamingDifficulty = NO_TAMING;
  HostileReplies == "\"This is why the government doesn't mess with me, fool!\"";
  AttachedGod = CRUENTUS;
  IsSadist = true;
}
