Dungeon MUNTUO;
{
  Levels = 2;

  Level 0;
  {
    LevelMessage = "You descend into a clearing full of tame animals.";
    Description = "Muntuo, the Fastness of Solicitus";
    ShortDescription = "Muntuo";
    FillSquare = solidterrain(GRASS_TERRAIN), 0;
    Size = 50, 42;
    GenerateMonsters = false;
    Rooms = 1;
    Items = 0;
    IsOnGround = true;
    TeamDefault = SOLICITUS_TEAM;
    LOSModifier = 48;
    IgnoreDefaultSpecialSquares = false;
    CanGenerateBone = false;
    DifficultyBase = 50;
    DifficultyDelta = 0;
    EnchantmentMinusChanceBase = -15;
    EnchantmentMinusChanceDelta = 0;
    EnchantmentPlusChanceBase = 0;
    EnchantmentPlusChanceDelta = 0;
    BackGroundType = GREEN_FRACTAL;
    EarthquakesAffectTunnels = false;

    RoomDefault
    {
      Pos = 2:36,2:36;
      Size = 4:6,4:6;
      AltarPossible = false;
      WallSquare = solidterrain(GRASS_TERRAIN), wall(BRICK_OLD);
      FloorSquare = MARBLE solidterrain(PARQUET), 0;
      DoorSquare = solidterrain(GRASS_TERRAIN), BALSA_WOOD door;
      GenerateDoor = false;
      DivineMaster = 0;
      GenerateTunnel = false;
      GenerateLanterns = false;
      Type = ROOM_NORMAL;
      GenerateFountains = false;
      AllowLockedDoors = false;
      AllowBoobyTrappedDoors = false;
      Shape = RECTANGLE;
      IsInside = true;
      GenerateWindows = false;
      UseFillSquareWalls = false;
      Flags = 0;
      GenerateWards = false;
    }

    Room
    {
      Type = ROOM_NORMAL;
      Pos = 4,5;
      Size = 42,16;
      WallSquare = solidterrain(GRASS_TERRAIN), TIN wall(BRICK_OLD);
      FloorSquare = LIME_STONE solidterrain(PARQUET), 0;
      GenerateDoor = false;
      DivineMaster = LEGIFER;
      GenerateLanterns = false;
      GenerateWindows = false;

      OTerrainMap
      {
        Pos = 0,0;
        Size = 42,16;
        Types
        {
          _ = 0;
          # = 0;
          $ = TIN wall(BRICK_OLD);
          ^ = decoration(HOLY_TREE);
          c = decoration(COUCH);
          d = OAK_WOOD door;
          f = fountain { SecondaryMaterial = LIQUID_HORROR; }
        }
      }
      {
        ##########################################
        #................$$$$$$$$................#
        #................$$$$$$$$................#
        #.................$$..$$.................#
