helmet
{
  DefaultSize = 30;
  Possibility = 350;
  Category = HELMET;
  DefaultMainVolume = 150;
  StrengthModifier = 100;
  BitmapPos = 16, 384;
  FormModifier = 10;
  NameSingular = "helmet";
  MainMaterialConfig := { LEATHER, HARDENED_LEATHER, TROLL_HIDE, BALSA_WOOD, PINE_WOOD, FIR_WOOD, BIRCH_WOOD, OAK_WOOD, TEAK_WOOD, EBONY_WOOD, BONE, OBSIDIAN, TIN, COPPER, BRONZE, IRON, STEEL, METEORIC_STEEL, DRAGON_HIDE, ARCANITE, MITHRIL, OMMEL_BONE, OMMEL_TOOTH; }
  MaterialConfigChances := { 500, 750, 300, 20, 70, 60, 50, 40, 30, 20, 300, 100, 100, 750, 500, 250, 100, 25, 25, 25, 25, 10, 5; }
  Roundness = 60;
  CanBeBroken = true;
  WieldedBitmapPos = 160, 128;
  CoverPercentile = 50;
  HelmetBitmapPos = 112, 416;
  EnchantmentPlusChance = 15;
  SoundResistance = 0;

  Config BROKEN;
  {
    BitmapPos = 64, 64;
    Possibility = 35;
    MainMaterialConfig = { 7, STEEL, METEORIC_STEEL, DRAGON_HIDE, ARCANITE, MITHRIL, OCTIRON, ADAMANT; }
    MaterialConfigChances = { 7, 100, 25, 25, 25, 25, 10, 5; }
    HelmetBitmapPos = 112, 496;
    EnchantmentPlusChance = 30;
    SoundResistance = 0;
  }

  Config FULL_HELMET;
  {
    DefaultSize = 40;
    DefaultMainVolume = 250;
    StrengthModifier = 150;
    FormModifier = 25;
    BitmapPos = 48, 32;
    Possibility = 35;
    Adjective = "full";
    MainMaterialConfig = { 9, COPPER, BRONZE, IRON, STEEL, METEORIC_STEEL, ARCANITE, MITHRIL, OMMEL_BONE, OMMEL_TOOTH; }
    MaterialConfigChances = { 9, 750, 500, 250, 100, 25, 25, 25, 10, 5; }
    CoverPercentile = 90;
    HelmetBitmapPos = 96, 432;
    EnchantmentPlusChance = 10;
    SoundResistance = 1;
  }

  Config BROKEN|FULL_HELMET;
  {
    BitmapPos = 64, 32;
    Possibility = 4;
    MainMaterialConfig = { 7, IRON, STEEL, METEORIC_STEEL, ARCANITE, MITHRIL, OCTIRON, ADAMANT; }
    MaterialConfigChances = { 7, 250, 100, 25, 25, 25, 10, 5; }
    HelmetBitmapPos = 96, 512;
    EnchantmentPlusChance = 20;
  }

  Config GOROVITS_FAMILY_GAS_MASK;
  {
    DefaultSize = 50;
    DefaultMainVolume = 300;
    StrengthModifier = 125;
    FormModifier = 20;
    BitmapPos = 64, 400;
    Possibility = 0;
    Adjective = "Gorovits family";
    NameSingular = "gas mask";
    MainMaterialConfig == KEVLAR;
    MaterialConfigChances == 100;
    Price = 50;
    AttachedGod = LORICATUS;
    CanBeBroken = false;
    CanBeWished = false;
    ArticleMode = FORCE_THE;
    GearStates = GAS_IMMUNITY;
    IsQuestItem = true;
    CoverPercentile = 100;
    HelmetBitmapPos = 112, 432;
    EnchantmentPlusChance = 0;
    SoundResistance = 0;
  }

  Config HELM_OF_ATTRACTIVITY;
  {
    DefaultSize = 40;
    DefaultMainVolume = 250;
    StrengthModifier = 150;
    FormModifier = 25;
    BitmapPos = 48, 32;
    Possibility = 5;
    PostFix = "of attractivity";
    AffectsCharisma = true;
    MainMaterialConfig == GOLD;
    MaterialConfigChances == 100;
    BaseEnchantment = 5; /* CLIVAN; was: 1 */
    Price = 1; /* CLIVAN; was: 100 */
    PriceIsProportionalToEnchantment = true;
    AttachedGod = MELLIS;
    CoverPercentile = 90;
    HelmetBitmapPos = 96, 432;
