holybanana /* materialcontainer->banana-> */
{
  Possibility = 5;
  DefaultMainVolume = 100;
  DefaultSecondaryVolume = 500;
  StrengthModifier = 150;
  FormModifier = 250;
  DefaultSize = 30;
  Price = 1000;
  Adjective = "holy";
  PostFix = "of Oily Orpiv";
  ArticleMode = FORCE_THE;
  IsPolymorphable = false;
  Roundness = 20;
  WieldedBitmapPos = 160, 320;
  CanBePiled = false;
  CanBeBroken = false;
  SecondaryMaterialConfig == HOLY_BANANA_FLESH;
  BaseEmitation = rgb24(160, 140, 110);
  CanBeCloned = false;
  CanBeMirrored = true; /* will create a peel */
  AllowEquip = true;
  IsValuable = true;
}
