whipofthievery /* meleeweapon->whip-> */
{
  DefaultSize = 250;
  Possibility = 10;
  DefaultMainVolume = 1000;
  DefaultSecondaryVolume = 50;
  StrengthModifier = 30; /* CLIVAN: 20 */
  NameSingular = "whip";
  PostFix = "of thievery";
  MainMaterialConfig == NYMPH_HAIR;
  SecondaryMaterialConfig == SAPPHIRE;
  Roundness = 2;
  FormModifier = 30; /* this is multiplied by MainMaterial's flexibility */
  Price = 500;
  AttachedGod = CLEPTIA;
  EnchantmentPlusChance = 10;

  Config BROKEN;
  {
    Possibility = 1;
    BitmapPos = 32, 256;
    WieldedBitmapPos = 176, 208;
    Price = 250;
    EnchantmentPlusChance = 20;
  }
}
